"FBCP1_4.no","FBCP1_4.si","FBCP1_6.indígena?","FBCP1_6.mestizo/a?","FBCP1_7.casado","FBCP1_7.separado","FBCP1_7.soltero","FBCP1_7.unión libre","FBCH_17.no","FBCH_17.si","FSCCN_23.hombre","FSCCN_23.mujer","FBCH_1.carretera/ calle pavimentada o adoquinada","FBCH_1.empedrado","FBCH_1.lastrado/ calle de tierra","FBCH_1.sendero","FBCH_2.casa o villa","FBCH_2.departamento","FBCH_2.mediagua","FBCH_2.rancho","FBCH_3.asbesto(eternit)?","FBCH_3.hormigón/losa/cemento?","FBCH_3.teja?","FBCH_3.zinc?","FBCH_4.asbesto/cemento (fibrolit)?","FBCH_4.hormigón/bloque/ladrillo?","FBCH_4.madera?","FBCH_5.cemento/ladrillo?","FBCH_5.cerámica/baldosa/vinyl?","FBCH_5.duela/ parquet/ tabloncillo/ tablón tratado/ piso flotante ?","FBCH_5.tabla/tablón no tratado?","FBCH_6.otra fuente por tubería?","FBCH_6.pozo?","FBCH_6.red pública?","FBCH_6.río/ vertiente/ acequia?","FBCH_7.no recibe agua por tubería, sino por otros medios?","FBCH_7.por tubería dentro de la vivienda?","FBCH_7.por tubería fuera de la vivienda pero dentro del edificio, lote o terreno?","FBCH_8.excusado y alcantarillado?","FBCH_8.excusado y pozo ciego?","FBCH_8.excusado y pozo séptico?","FBCH_8.no tiene?","FBCH_10.la queman?","FBCH_10.servicio municipal ?","FBCH_11","FBCH_12","FBCH_13.la beben tal como llega al hogar?","FBCH_13.la hierven?","FBCH_14.gas?","FBCH_14.leña/carbón?","FBCH_15.no","FBCH_15.si","FBCH_16.no","FBCH_16.si","FBCH_18.cedida?","FBCH_18.en arriendo?","FBCH_18.propia y la está pagando?","FBCH_18.propia y totalmente pagada ?","FBCP1_1","FBCP1_5","FBCP1_8.Educación Básica","FBCP1_8.Educación Media/Bachillerato","FBCP1_8.Superior","FIPA_4.no","FIPA_4.si","FIPA_5.entre una hora y menos de 24 horas?","FIPA_5.inmediatamente después de nacido (después del parto)?","FIPA_5.más de un día?","FIPA_5.menos de una hora?","FIPA_6.no","FIPA_6.si","FIPA_11.no","FIPA_11.si","FIPA_12.no","FIPA_12.si","FIPA_13.no","FIPA_13.si","FIPA_14","FIPA_15.no","FIPA_15.si","FIPA_17.no","FIPA_17.si","FIPA_19.no","FIPA_19.no sabe / no responde","FIPA_19.si","FIPA_20.no","FIPA_20.si","FIPA_21","FIPA_22.no","FIPA_22.si","FIPA_24.no","FIPA_24.no sabe / no responde","FIPA_24.si","FIPA_26.no","FIPA_26.si","FIPA_28.no","FIPA_28.no sabe / no responde","FIPA_28.si","FIPA_32.no","FIPA_32.si","FIPA_33.no","FIPA_33.no sabe / no responde","FIPA_33.si","FIPA_34.no","FIPA_34.si","FIPA_35.no","FIPA_35.si","FIPA_36.no","FIPA_36.no sabe / no responde","FIPA_36.si","FBCP1_3.no quería más hijos?","FBCP1_3.quería esperar mas tiempo ?","FBCP1_3.tener ese hijo?","FSCE_2.clínica/consultorio privado","FSCE_2.establecimientos de salud del msp","FSCE_2.hospital/clínica/dispensario del iess","FSCE_3","FSCE_4","FSCE_5.no","FSCE_5.si","FSCE_6.clínica/consultorio privado","FSCE_6.en casa","FSCE_6.establecimientos de salud del msp","FSCE_6.hospital/clínica/dispensario del iess","FSCE_7.médico","FSCE_7.obstetriz","FSCE_8.césaria","FSCE_8.normal (vaginal)","FSCE_9.a tiempo","FSCE_9.prematuro","FSCE_10.no","FSCE_10.si","FSCE_11","FSCE_12","FSCE_13","FSCE_14.clínica/consultorio privado","FSCE_14.consejo provincial/unidad municipal de salud","FSCE_14.establecimientos de salud del msp","FSCN_2.gramos","FSCN_2.kilos-gramos","FSCN_2.libras-onzas","FSCN_2.no sabe","FSCN_5.igual","FSCN_5.más grande","FSCN_5.pequeño","FSCN_6.no","FSCN_6.si","FSCN_6.si le entregaron pero se perdio","FSCN_7.no","FSCN_7.si","FSCN_9.no","FSCN_9.si","FSCN_11.no","FSCN_11.si","FSCN_13.no","FSCN_13.si","FSCCN_2","FSCCN_3","FSCCN_4","FSCCN_5.¿estaba enfermo?","FSCCN_5.¿para control niño sano?","FSCCN_6.clínica/consultorio privado","FSCCN_6.establecimientos de salud del msp","FSCCN_6.hospital/clínica/dispensario del iess","FSCCN_8","FSCCN_9","FSCCN_10","FSCCN_11","FSCCN_12","FSCCN_13","FSCCN_14","FSCCN_15","FSCCN_16","FSCCN_17","FSCCN_18","FSCCN_19","FSCCN_21.0-11","FSCCN_21.12-18","FSCCN_21.19-23","FSCCN_21.24-30","FSCCN_21.31-35","FSCCN_22","FIPA_1","FIPA_2","FIPA_3","FIEI_1.no","FIEI_1.si","FIEI_4.no","FIEI_4.si","dcronica"
1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,3,1,1,0,1,0,1,0,1,0,0,0,0,1,25,2,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,5,0,1,1,0,1,0,0,0,1,2,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,3,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,17,17,17,18,18,17,18,17,18,18,17,18,0,0,1,0,0,20,0,3,0,1,0,0,1,"0"
1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2,1,1,0,1,0,1,0,1,0,0,0,0,1,28,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,4,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,12,10,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,17,17,17,17,17,17,17,17,17,17,17,17,0,1,0,0,0,17,66,66,66,1,0,0,1,"0"
1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,3,2,1,0,1,0,1,0,1,0,1,0,0,0,17,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,5,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,8,10,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,17,17,17,17,17,17,17,17,17,17,17,17,0,1,0,0,0,18,0,0,1,1,0,0,1,"0"
1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,3,2,0,1,1,0,1,0,1,0,1,0,0,0,29,3,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,2,1,0,1,0,1,0,0,1,0,1.81887914948781,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,8,6,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,18,18,18,18,17.8628432120516,18,18,18,18,17.8628432120516,18,18,1,0,0,0,0,5,66,66,66,1,0,1,0,"0"
1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,2,0,1,1,0,1,0,1,0,0,1,0,0,18,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,7,0,1,0,0,1,0,0,1,0,1,0,1,0,1,9,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,77,77,77,0,1,0,1,0,18,18,18,18,18,18,18,15.0803041500852,18,18,18,18,1,0,0,0,0,9,66,66,66,1,0,1,0,"0"
1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,1,1,0,1,0,1,0,1,0,0,1,0,0,20,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,3,1,0,0,1,0,0,1,1,0,1.48568119291249,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,7,8,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,2,0,0,1,0,1,0,17,16.4872463600565,17,17,17,17,17,17,17,17,17,17,0,0,0,1,0,29,0,6,1,1,0,1,0,"1"
1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,2,0,1,1,0,1,0,1,0,0,0,0,1,39,3,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,2,0,1,1,0,0,0,1,0,1,2,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,8,8,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,16.6313007082805,16.6313007082805,16.7457915803755,16.7457915803755,16.9064238472876,16.7457915803755,16.7457915803755,16.7457915803755,16.7457915803755,16.9064238472876,16.7457915803755,16.7457915803755,0,0,0,0,1,33,0,0,1,1,0,1,0,"0"
1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,3,2,0,1,1,0,1,0,1,0,0,1,0,0,28,2,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1.90182057031582,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,8,6,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,18,18,18,18,17.9411116122049,18,18,18,18,17.9411116122049,18,18,1,0,0,0,0,5,66,66,66,0,1,0,1,"0"
1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3,2,1,0,1,0,0,1,1,0,1,0,0,0,32,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,2,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,5,7,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0.862552519206263,0.952150339000585,0.199902322925542,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,16.1752013912163,16.1752013912163,16.2278933543094,16.2278933543094,16.2558751769845,16.2278933543094,16.2278933543094,16.2278933543094,16.2278933543094,16.2558751769845,16.2278933543094,16.2278933543094,0,0,0,0,1,33,0,11,0,1,0,1,0,"0"
1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4,3,1,0,1,0,1,0,1,0,0,1,0,0,21,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,3.63138536326585,0,1,1,0,1,0,0,1,0,1.87244197638845,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,5.8837363592811,7.91193423725496,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0.269104812639745,0.384276236525933,0.82991840676196,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,18,17.2918021180535,17.5652437888254,17.5652437888254,17.8197597126688,17.5652437888254,17.5652437888254,17.5652437888254,17.5652437888254,17.8197597126688,17.5652437888254,17.5652437888254,1,0,0,0,0,1,66,66,66,1,0,1,0,"0"
1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,25,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,3,0,1,1,0,0,0,1,0,1,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,8,7,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,5,0,0,0,1,0,1,0,18,18,18,18,18,18,18,18,18,18,18,18,0,1,0,0,0,14,0,6,0,0,1,1,0,"0"
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4,3,1,0,1,0,1,0,1,0,0,1,0,0,22,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,5,0,1,1,0,0,0,1,0,1,2,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,3,5,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,17,17,17,17,18,17,17,17,17,18,17,17,0,1,0,0,0,16,66,66,66,1,0,1,0,"1"
1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,2,0,1,1,0,1,0,1,0,0,1,0,0,21,2,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,3,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,24,5,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,14,16.1299676902609,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,53,0,2,0,1,0,0,1,"0"
1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,5,4,1,0,1,0,1,0,1,0,0,0,1,0,29,3,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,3,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,5,7,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,17,17,18,18,18,18,18,18,18,18,18,18,0,1,0,0,0,12,66,66,66,1,0,1,0,"0"
1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,1,1,0,1,0,1,0,1,0,0,1,0,0,20,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,2,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,2,8,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0.225958615503063,0.605323248343606,0.850117790651278,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0.298699654742078,0.306585545445438,0.87867453074179,1,0,0,0,0,16.9096582402053,16.9096582402053,17.1167832253064,17.1167832253064,17.394295447863,17.1167832253064,17.1167832253064,17.1167832253064,17.1167832253064,17.394295447863,17.1167832253064,17.1167832253064,1,0,0,0,0,9,66,66,66,1,0,0,1,"0"
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3,2,0,1,1,0,1,0,1,0,1,0,0,0,25,2,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,6,0,1,1,0,0,0,1,0,1,2,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,2,9,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,5,0,0,0,1,1,0,0,17.0437581984851,17.0437581984851,17.1837611947955,17.1837611947955,17.3916955915369,17.1837611947955,17.1837611947955,17.1837611947955,17.1837611947955,17.3916955915369,17.1837611947955,17.1837611947955,0,1,0,0,0,12,66,66,66,1,0,0,1,"0"
1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3,2,0,1,1,0,1,0,1,0,0,1,0,0,38,3,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1.65091981827421,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,4,6,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,2,0,0,1,0,0,1,18,18,17.4861050084106,17.4861050084106,17.6029638071451,17.4861050084106,17.4861050084106,17.4861050084106,17.4861050084106,17.6029638071451,17.4861050084106,17.4861050084106,1,0,0,0,0,1,66,66,66,1,0,1,0,"0"
1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,4,3,1,0,1,0,1,0,1,0,0,0,1,0,31,2,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,3,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,5,8,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,16.7228221824135,16.7228221824135,16.8758929072053,16.8758929072053,17.1360025331244,16.8758929072053,16.8758929072053,16.8758929072053,16.8758929072053,17.1360025331244,16.8758929072053,16.8758929072053,0,0,0,1,0,27,0,6,0,1,0,0,1,"0"
0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,4,3,1,0,1,0,1,0,1,0,0,0,1,0,14,1.60673562413159,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,2,8,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,3,0,0,0,1,0,0,1,16,16,17,17,17,17,17,17,17,17,17,17,0,0,0,1,0,24,0,0,1,1,0,0,1,"1"
1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,2,1,0,1,0,1,0,1,0,0,1,0,0,27,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,3.68220795514706,0,0,1,0,1,0,0,1,0,2.61773594121616,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,7,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0.083968086278085,0.158454249760536,0.910405724384442,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,3,1,0,0,1,1,0,0,17.7339349320534,17.7339349320534,17.8280734106506,17.8280734106506,18.5675353282982,17.8280734106506,17.8280734106506,17.8280734106506,17.8280734106506,18.5675353282982,17.8280734106506,17.8280734106506,1,0,0,0,0,0,66,66,66,1,0,1,0,"0"
0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,15,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,3,1,0,1,0,0,0,1,0,1,2,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,16,5,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0.128845986436303,0.259430702688378,1.05637895320867,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0.157680619849948,0.126157816533601,1.24127445424366,1,0,0,0,0,17.1286331229582,17.1286331229582,17.2066052019488,17.2066052019488,17.3683120081896,17.2066052019488,17.2066052019488,17.2066052019488,17.2066052019488,17.3683120081896,17.2066052019488,17.2066052019488,1,0,0,0,0,9,66,66,66,1,0,0,1,"0"
1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3,2,1,0,1,0,1,0,1,0,0,0,0,1,21,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,5,0,1,0,1,1,0,0,0,1,2,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,6,10,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,16.5076295439786,16.5076295439786,16.7942974102277,16.7942974102277,17.1573497393549,16.7942974102277,16.7942974102277,16.7942974102277,16.7942974102277,17.1573497393549,16.7942974102277,16.7942974102277,0,1,0,0,0,17,0,7,0,1,0,1,0,"0"
1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3,2,1,0,1,0,0,1,1,0,0,0,0,1,22,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,4,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,4,7,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,7,0,0,0,1,1,0,0,16,16.3039785936563,16,16,16,16,16,16,16,16,16,16,0,0,0,1,0,30,0,0,2,1,0,0,1,"0"
1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,2,1,0,1,0,1,0,1,0,0,0,1,0,23,3,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,2.9196566571569,1,0,1,0,0,1,0,1,0,1.9271705201713,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,6,4,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0.288030450175592,0.342570236614494,0.918174821367946,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,17.1562857712249,17.1562857712249,17.4635113318257,17.4635113318257,17.7820707246542,17.4635113318257,17.4635113318257,17.4635113318257,17.4635113318257,17.7820707246542,17.4635113318257,17.4635113318257,1,0,0,0,0,6,66,66,66,1,0,0,1,"0"
1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,2,1,0,1,0,1,0,1,0,0,1,0,0,37,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1.50423332790221,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,6,8,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,16.7113893117975,16.7113893117975,17.3225134710214,17.3225134710214,17.4234920258333,17.3225134710214,17.3225134710214,17.3225134710214,17.3225134710214,17.4234920258333,17.3225134710214,17.3225134710214,1,0,0,0,0,4,66,66,66,1,0,1,0,"0"
0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,18,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,2.34076982471556,1,0,1,0,0,1,0,1,0,1.40658532943516,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,10,6,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0.0736144202195313,0.467352333596361,1.0746488868131,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,4,0,1,0,1,0,16.9121908309999,16.9121908309999,17.0663459067233,17.0663459067233,17.3276139512468,17.0663459067233,17.0663459067233,17.0663459067233,17.0663459067233,17.3276139512468,17.0663459067233,17.0663459067233,1,0,0,0,0,5,66,66,66,1,0,0,1,"0"
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,3,2,1,0,1,0,1,0,1,0,0,0,1,0,32,2,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4,1,0,1,0,0,0,1,0,1,2,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,4,5,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,2,0,1,0,1,0,16,16,16,17,17,16,17,16,17,17,16,17,0,0,0,1,0,27,0,2,0,1,0,0,1,"0"
